client_id	audio_id	audio_file	duration_ms	prompt_id	prompt	transcription	votes	age	gender	accents	variant	language	prompt_upvotes	prompt_reports	is_edited	split	char_per_sec	quality_tags
39ec1810f27b7c550a62d949643848e0	71834	spontaneous-speech-es-71834.mp3	11268	8004	¿Cuál es festividad tu favorita y cómo se celebra?	Mi festividad favorita es eeh ... la navidad se festeja en familia con mucha comida y muchos regalos.	1	thirties		Rioplatense: Argentina, Uruguay, este de Bolivia, Paraguay		Spanish	0	0	0		7.454739084132055	
39ec1810f27b7c550a62d949643848e0	71835	spontaneous-speech-es-71835.mp3	24480	8019	¿Qué mascotas son las preferidas en donde vives?	¿Qué mascotas son las preferidas en donde vives? Eh... La invalido... Em... sí. Los perros... son las mascotas preferidas en donde vivo porque son muy compañeros y... siempre están alegres.	1	thirties		Rioplatense: Argentina, Uruguay, este de Bolivia, Paraguay		Spanish	0	0	1		6.5359477124183005	
9f045a5df5531af85531a3fcefbe80d4	74952	spontaneous-speech-es-74952.mp3	6372	8049	¿Puedes nombrar algunos alimentos nutritivos?	Espinaca, acelga, zanahoria, carnes rojas…	1	thirties	male_masculine	Rioplatense: Argentina, Uruguay, este de Bolivia, Paraguay		Spanish	0	0	0		5.963590709353421	
9f045a5df5531af85531a3fcefbe80d4	74953	spontaneous-speech-es-74953.mp3	4788	8051	¿Cómo aprendiste los idiomas que hablas?	En algún momento entre la primaria y la secundaria.	1	thirties	male_masculine	Rioplatense: Argentina, Uruguay, este de Bolivia, Paraguay		Spanish	0	0	0		8.98078529657477	
9f045a5df5531af85531a3fcefbe80d4	74954	spontaneous-speech-es-74954.mp3	5652	8008	¿Qué juegan los niños usualmente en tu región?	Y por mi región, normalmente, los niños juegan al fútbol.	1	thirties	male_masculine	Rioplatense: Argentina, Uruguay, este de Bolivia, Paraguay		Spanish	0	0	0		8.492569002123142	
9f045a5df5531af85531a3fcefbe80d4	74955	spontaneous-speech-es-74955.mp3	5184	8055	¿Qué tipo de arte te gusta?	Me gusta la pintura, la música, las artes mundiales	1	thirties	male_masculine	Rioplatense: Argentina, Uruguay, este de Bolivia, Paraguay		Spanish	0	0	1		8.294753086419753	
9f045a5df5531af85531a3fcefbe80d4	74956	spontaneous-speech-es-74956.mp3	6408	8002	¿Qué hace normalmente la gente en donde vives los domingos?	Realmente los domingos la gente se junta en familia a comer pasta o asado.	1	thirties	male_masculine	Rioplatense: Argentina, Uruguay, este de Bolivia, Paraguay		Spanish	0	0	0		9.519350811485642	
9f045a5df5531af85531a3fcefbe80d4	74957	spontaneous-speech-es-74957.mp3	10368	8063	¿Hay un baile tradicional donde naciste y cuándo se realiza?	"Y acá, en la zona de Buenos Aires, el baile tradicional es ""tango"" y se baila en distintas competiciones y celebraciones."	1	thirties	male_masculine	Rioplatense: Argentina, Uruguay, este de Bolivia, Paraguay		Spanish	0	0	0		9.741512345679013	
9f045a5df5531af85531a3fcefbe80d4	74958	spontaneous-speech-es-74958.mp3	5760	8042	¿Qué cosas típicamente hace la gente en la mañana?	Tomar mate, leer las noticias, desayunar lo que prefieren desayunar.	1	thirties	male_masculine	Rioplatense: Argentina, Uruguay, este de Bolivia, Paraguay		Spanish	0	0	0		10.243055555555555	
9f045a5df5531af85531a3fcefbe80d4	74959	spontaneous-speech-es-74959.mp3	7848	8043	¿Que ofrece la gente de regalo cuando va de visita a otra casa?	generalmente una botella de vino, una caja de bombones o alguien trae un postre como puede ser un helado	1	thirties	male_masculine	Rioplatense: Argentina, Uruguay, este de Bolivia, Paraguay		Spanish	0	0	0		10.958205912334353	
